,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,4924233333610758,7491083117,24年03月07日 00:03,学姐考上了嘛,来自山西,5009079143498287,1,0,学姐考上了嘛,7794881291,拟难书,https://weibo.com/u/7794881291,,山西,m,5,22,5,14,0,3,17,
1,4924233333610758,7491083117,23年07月16日 21:24,需要帮助吗,来自山东,4924240535228880,4,0,需要帮助吗,7395753127,香蕉叭呐呐_,https://weibo.com/u/7395753127,,山东,m,157,84,2,1,0,0,1,
2,4924233333610758,7491083117,23年07月18日 10:03,"这里这里<img alt=""[举手]"" title=""[举手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2022_raisehand_org.png"" /><img alt=""[举手]"" title=""[举手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2022_raisehand_org.png"" />",来自内蒙古,4924793747406996,0,0,这里这里[举手][举手],6352627404,椰子_票,https://weibo.com/u/6352627404,记得关注在说话🥲,内蒙古,f,2679,2484,18,102,1,159,262,
3,4924233333610758,7491083117,23年07月16日 22:38,有的,来自山西,4924258960807171,0,0,有的,6388196602,不谈恋爱只谈梦想,https://weibo.com/u/6388196602,私信前请先关注我，不回复非关注人的私信,山西,f,5891,5328,12,35,0,196,231,
4,4924233333610758,7491083117,24年06月24日 17:03,上岸了嘛 可以辅导846初试嘛,来自河南,5048836140045277,0,0,上岸了嘛 可以辅导846初试嘛,7909683713,星星1y1,https://weibo.com/u/7909683713,,其他,f,84,33,0,0,0,0,0,
5,4924233333610758,7491083117,23年07月17日 09:25,"<img alt=""[举手]"" title=""[举手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2022_raisehand_org.png"" />",来自山东,4924421888543415,0,0,[举手],7241824912,李李是淘气包,https://weibo.com/u/7241824912,,山东,f,4541,191,4,4,0,2,6,
6,4924233333610758,7491083117,23年07月16日 22:30,"在gz号【小南学长】有资料和网课，也有很多学长学姐上传他们的笔记等资料，可以关注一下的<img alt=""[给你小心心]"" title=""[给你小心心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/ca/qixi2018_xiaoxinxin_org.png"" />",来自江苏,4924256943345034,0,1,在gz号【小南学长】有资料和网课，也有很多学长学姐上传他们的笔记等资料，可以关注一下的[给你小心心],6309915937,dkdkddkddmmdmdmd,https://weibo.com/u/6309915937,,其他,f,35,194,65,9,0,0,9,
7,4924233333610758,7491083117,24年01月16日 08:44,+福大上岸学姐qq1540367633,来自山西,4990728577220980,0,0,+福大上岸学姐qq1540367633,7769192522,海边记述,https://weibo.com/u/7769192522,,其他,f,93,59,313,591,25,42,658,
8,4924233333610758,7491083117,24年01月15日 15:37,本校考研q裙882836281,来自浙江,4990470107172292,0,0,本校考研q裙882836281,7840115170,张晓囧596,https://weibo.com/u/7840115170,,北京,f,0,229,0,0,0,0,0,
9,4924233333610758,7491083117,23年09月03日 17:02,你可以到24的群里问问，417685767,来自广东,4941931392271724,0,0,你可以到24的群里问问，417685767,2759483853,学长学姐考研成硕,https://weibo.com/u/2759483853,淘宝店铺：学长学姐考研成硕，获取考研专业课复习资料以及直系学长学姐联系方式！,山东,f,7,66,29,53,15,11,79,
10,4924233333610758,7491083117,23年07月19日 16:07,24福州大学846材料科学综合考研群：123111293 这里有学姐,来自山东,4925247721314051,0,0,24福州大学846材料科学综合考研群：123111293 这里有学姐,7634555045,紫米ba,https://weibo.com/u/7634555045,,山东,f,195,25,65,59,8,53,120,
11,4924233333610758,7491083117,23年07月18日 14:47,同学你好，本人已上岸可辅导可答疑出资料有求必应，提供真题资料报录比初复试调剂信息，帮助同学们进行专业课辅导，本人已带很多同学成功上岸，全程跟进，私信 OR WeChart：ozzzing 有近三年报录比真题免费答疑择专业，本人gz号【福大研刊】提供本专业最新考研信息，考研qun：512596893,来自福建,4924865364101741,0,0,同学你好，本人已上岸可辅导可答疑出资料有求必应，提供真题资料报录比初复试调剂信息，帮助同学们进行专业课辅导，本人已带很多同学成功上岸，全程跟进，私信 OR WeChart：ozzzing 有近三年报录比真题免费答疑择专业，本人gz号【福大研刊】提供本专业最新考研信息，考研qun：512596893,7733696156,上岸志成,https://weibo.com/u/7733696156,,其他,f,108,50,16,4,2,6,12,上岸志成官方微博
