,mid,uid,个人昵称,个人主页,发布时间,内容来自,展示内容,全部内容,转发数量,评论数量,点赞数量
0,4876840658797055,2567340663,擈言而遇,https://weibo.com/2567340663,2023年03月08日 02:14,vivo手机,福州大学考研黑幕严重，成绩严重失真，跪求各位大佬转发#福州大学考研##考研成绩##考研成绩出分#​,None,2,94,532
1,4845520738845834,5639749001,难逃巴厘岛,https://weibo.com/5639749001,2022年12月11日 16:00,2024考研超话,2024考研超话🔥近几年考研人数越来越多，竞争也是越来越大，24考研的你应该尽早准备起来啦！虽然不少同学知道考研形势严峻，需要尽早复习，但是在实际操作过程中，问题频出。📝例如：福大怎么查找资料？如何规划考研时间？参考书有哪些？怎么看书.......因此小福特意建立了这个交流群，交流​展开,2024考研超话🔥近几年考研人数越来越多，竞争也是越来越大，24考研的你应该尽早准备起来啦！虽然不少同学知道考研形势严峻，需要尽早复习，但是在实际操作过程中，问题频出。📝例如：福大怎么查找资料？如何规划考研时间？参考书有哪些？怎么看书.......因此小福特意建立了这个交流群，交流群有什么好处呢？1️⃣寻找研友2️⃣及时获取考研信息，资料3️⃣报团取暖，缓解压力4️⃣公开课第一时间获取5️⃣学长学姐在线答疑#福州大学考研##考研监督群##考研##24考研#,0,3,2
2,5068115723421503,7672547858,我是一个神经病呀神呀么神经病,https://weibo.com/7672547858,08月16日 21:53,真我GT大师探索版,#福州大学考研#求612物理化学和822有机化学真题资料​,None,0,12,4
3,5064719230045815,5885437471,木木ticket2006,https://weibo.com/5885437471,08月07日 12:57,iQOO Neo9,#福州大学考研#我想考福大软件工程，有没有今年上岸的学长学姐，想请教一些问题​,None,0,16,6
4,4927735660810508,6604070528,JIANGCHEN0721,https://weibo.com/6604070528,2023年07月26日 12:53,福州大学考研超话,福州大学考研超话#福州大学考研#蹲材料工程专业的学长学姐出846材料科学基础初复试复习资料，有偿​,None,0,24,2
5,4934303006592201,5023930256,沐心Ushmily,https://weibo.com/5023930256,2023年08月13日 15:49,nova7你在焦点在,#福州大学考研#蹲838管理学复习资料和历年真题​,None,0,10,1
6,4887795985023453,5971773887,奶黄贝果_,https://weibo.com/5971773887,2023年04月07日 07:47,iPhone客户端,福州大学考研超话#福州大学考研#一志愿上岸选手，出福大846材料科学基础笔记，送真题（真题只有到22年的）​,None,0,27,2
7,5094544043676050,6129880192,考研新青年,https://weibo.com/6129880192,10月28日 20:10,nova 10 主角影像,考研报录比！福州大学2024考研各专业报录情况统计#考研报录比##福州大学考研#​​​,None,5,0,1
8,5087913945075714,7773457996,雾都夜雁,https://weibo.com/7773457996,10月10日 13:04,Android,#福州大学考研#蹲一个有行政管理历年考研真题的友友​,None,0,10,3
9,5069928988674639,2079660797,淡色阳光宝贝,https://weibo.com/2079660797,08月21日 21:58,iPhone 11,#福州大学考研#招聘信息：诚聘1名福州大学(018)材料科学与工程学院(080500)材料科学与工程(01)新能源材料的硕士研究生，辅导初试专业课：(846)材料科学基础，课酬丰厚，线上远程一对一辅导，授课时间灵活，意愿者可联系哈，期待合作​,None,0,2,0
10,5053089693043282,7236436956,枫子村村长,https://weibo.com/7236436956,07月06日 10:45,iQOO Neo9,#福州大学考研#出814机械原理机械设计真题及资料​,None,0,0,0
11,5025240696753405,7312537638,橙酥CSWD,https://weibo.com/7312537638,04月20日 14:23,荣耀30 Pro 5G,#福州大学考研##福州大学840考研#25考研专硕，真诚求840，历年真题（含24年），骗子勿扰​​​,None,0,2,0
12,5023458570797148,5647649598,一生繁华半世浮夸,https://weibo.com/5647649598,04月15日 16:21,荣耀30 5G,出福州大学生物技术工程考研资料，自己之前买了好几份学长学姐的资料，又经过自己的总结，非常全面，可以节省很多时间。#福州大学考研#​,None,0,0,36
13,5022667768594577,7650365821,糕冷小美Di,https://weibo.com/7650365821,04月13日 11:59,iPhone客户端,#福州大学考研#25考研，有偿求338生化和839微生物历年考研真题，数英和政治有的话也求，谢谢各位学长学姐​,None,0,5,2
14,5012971264671870,5031573409,考研文案馆,https://weibo.com/5031573409,03月17日 17:49,HUAWEI P60,北京航空航天大学2024年硕士研究生复试资格基本线#福州大学考研##考研调剂信息#​,None,0,1,0
15,5012136762018851,6612826780,别说再见Lotr,https://weibo.com/6612826780,03月15日 10:33,iPhone客户端,福州大学旗山复试酒店有推荐的吗#考研复试##福州大学考研#福州·福州大学城(旗山校区)​,None,0,2,1
16,5011500951670410,5944443734,终归是游子,https://weibo.com/5944443734,03月13日 16:26,Redmi K40,#福州大学考研#求福州大学政治经济学复试资料​,None,0,7,0
17,5006521011013777,6617428266,茶白紫菜,https://weibo.com/6617428266,02月28日 22:38,iPhone客户端,#福州大学考研#蹲一个812控制工程学长学姐，咨询一些问题，有偿​,None,0,5,1
18,5006339797680307,2563429911,皮皮皮1_,https://weibo.com/2563429911,02月28日 10:38,荣耀20,#福州大学考研#求福大法硕的研一研二的学长学姐～求求求​,None,0,7,2
19,5005684804420142,6435142651,你猜我一不一般,https://weibo.com/6435142651,02月26日 15:15,HUAWEI P40 Pro 5G,#福州大学考研#有没有考化原上岸的学长学姐求指导​,None,0,6,1
20,4989307987429195,7746908181,阿中学姐,https://weibo.com/7746908181,01月12日 10:39,福建考研超话,福建考研超话福建考研各高校中，福大的化学专业综合实力仅次于厦大，其推免常年只有个位数，统考名额相当充裕！#福州大学考研##厦门大学考研#​,None,0,0,2
21,4975361161695398,6617957427,法硕资料小王子,https://weibo.com/6617957427,2023年12月04日 23:00,微博视频号,【原题再现-合计640题】福州大学法硕复试真题、法律硕士复试真题【2024复试真题】福州大学法硕复试真题【10年至23年】福州大学法律硕士复试真题【10年至23年】福州大学（累计14年真题汇编；合计631题）福州大学法律硕士专业课口试真题（10年至23年：合计399题；累计14年真题汇编）福州大学法律硕​展开,【原题再现-合计640题】福州大学法硕复试真题、法律硕士复试真题【2024复试真题】福州大学法硕复试真题【10年至23年】福州大学法律硕士复试真题【10年至23年】福州大学（累计14年真题汇编；合计631题）福州大学法律硕士专业课口试真题（10年至23年：合计399题；累计14年真题汇编）福州大学法律硕士英语口试真题（10年至23年：合计232题；累计14年真题汇编）#福州大学考研#福州大学考研超话福州大学法学考研超话#法硕考研##法硕非法学#法律硕士超话法硕资料小王子的微博视频,2,2,1
22,4963264102666554,6567667485,偷喝一瓶旺仔牛奶,https://weibo.com/6567667485,2023年11月01日 13:50,iQOO Neo5 生而为赢,#福州大学考研#蹲一个811考研电路刺猬哥的序列B#刺猬哥电气考研##电路#​,None,0,4,1
25,4924948676348485,6599889303,Joker浅叶,https://weibo.com/6599889303,2023年07月18日 20:18,iPhone客户端,#福州大学考研#这有没有408学姐学长啊​,None,0,2,0
26,4924233333610758,7491083117,吧唧吧唧jjj,https://weibo.com/7491083117,2023年07月16日 20:56,福州大学考研超话,#福州大学考研#蹲一个846材料科学基础上岸的学姐学长福州大学考研超话​,None,0,20,10
27,4908342688089026,6443665292,HouRuShi91,https://weibo.com/6443665292,2023年06月03日 00:32,华为畅享20 Pro,#福州大学考研#找上岸机械855的学长学姐问点问题有偿​,None,0,4,0
28,4901231257977873,7743714056,是花开半夏哦,https://weibo.com/7743714056,2023年05月14日 09:34,nova7你在焦点在,#福州大学考研#蹲一个管理科学与工程上岸的学长学姐🙏🙏🙏​,None,0,6,1
29,4898080745588755,7260282268,好好好好啊好好好,https://weibo.com/7260282268,2023年05月05日 16:55,nova4自拍极点全面屏,#福州大学考研##社会学#出福州大学社会学考研资料社会学超话#社会学考研#​,None,0,3,4
30,4890056832319868,5272880591,用户5272880591,https://weibo.com/5272880591,2023年04月13日 13:31,Redmi K40,上岸了，开启下一个三年福州大学考研超话#福州大学考研##23考研上岸##考研上岸经验#​,None,0,0,37
32,4884682217096261,5669524500,微雨清凉丿,https://weibo.com/5669524500,2023年03月29日 17:34,福州大学考研超话,福州大学考研超话#福州大学考研#蹲一个福大复试（4月6，7，8号）的小姐妹一起拼酒店的呀​,None,0,2,0
33,4883865266817224,7787278996,时习社,https://weibo.com/7787278996,2023年03月27日 11:28,HarmonyOS设备,📒真题集｜2015福大863数据结构与程序设计考研超话#福州大学考研##计算机考研#​,None,0,0,0
