,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,4876840658797055,2567340663,23年03月08日 10:33,人家要操作也是暗箱操作，难道把所有高分学生全部刻意降低分数让内定上吗，用脑子想一想就知道不可能，不是登记错了就是自己的问题，登记错了就申请复核，复核没问题就是自己的问题，发这种微博真的也别考研了，不适合你，找个厂上吧,来自福建,4876966123537605,9,183,人家要操作也是暗箱操作，难道把所有高分学生全部刻意降低分数让内定上吗，用脑子想一想就知道不可能，不是登记错了就是自己的问题，登记错了就申请复核，复核没问题就是自己的问题，发这种微博真的也别考研了，不适合你，找个厂上吧,7219430409,HedgeNight,https://weibo.com/u/7219430409,每个人都是孤独的,海外 其他,m,49,151,0,0,0,0,0,nan
1,4876840658797055,2567340663,23年03月08日 12:47,从来不从自己身上找原因，也不理性去找解决办法，就知道在这动不动黑幕，20多岁了，不是小朋友了,来自湖北,4877000001457052,0,45,从来不从自己身上找原因，也不理性去找解决办法，就知道在这动不动黑幕，20多岁了，不是小朋友了,7452142223,Bing1236,https://weibo.com/u/7452142223,一路向北,海外,m,5,606,3,0,0,0,0,nan
2,4876840658797055,2567340663,23年03月08日 10:55,承认自己是普通人,来自福建,4876971844830318,0,23,承认自己是普通人,1840768494,赤赤赤道,https://weibo.com/u/1840768494,,甘肃 兰州,m,242,20,528,17,9,42,68,nan
3,4876840658797055,2567340663,23年03月08日 18:51,"压分年年有，不过压成7分应该是不太会的<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自安徽,4877091588019874,0,20,压分年年有，不过压成7分应该是不太会的[允悲],3725453660,管浩鑫,https://weibo.com/u/3725453660,我本可以忍受黑暗，如果我不曾见过太阳。,江苏,m,134,38,12,0,0,10,10,nan
4,4876840658797055,2567340663,23年03月08日 21:28,没考过数学这两门，但博主政治很高，英语也可以，不至于有一门只考7分吧。先申请复核吧。或者给一些考研网课老师投稿，最好有平时的努力和做题证据。这几天有个考研前辈是这样平反的。,来自辽宁,4877131009493665,1,6,没考过数学这两门，但博主政治很高，英语也可以，不至于有一门只考7分吧。先申请复核吧。或者给一些考研网课老师投稿，最好有平时的努力和做题证据。这几天有个考研前辈是这样平反的。,7553462148,不是个npc,https://weibo.com/u/7553462148,一塌糊涂,其他,f,8,70,349,43,0,10,53,nan
5,4876840658797055,2567340663,23年03月08日 11:30,"这也太低了吧<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自福建,4876980505548056,0,8,这也太低了吧[允悲],2716884691,Mr_Romantic_,https://weibo.com/u/2716884691,常与同好争高下，不共傻瓜论短长。,海外 其他,m,352,2690,752,97,29,63,189,nan
6,4876840658797055,2567340663,23年03月08日 11:25,你要跟这个社会对抗吗,来自福建,4876979364694798,0,9,你要跟这个社会对抗吗,5093545268,背在席,https://weibo.com/u/5093545268,萬事不如背在席,福建 福州,m,400,1136,1000,140,21,328,489,nan
7,4876840658797055,2567340663,23年03月09日 00:48,找个电子厂拧螺丝吧,来自福建,4877181345859167,0,4,找个电子厂拧螺丝吧,6831850748,Erythritol-,https://weibo.com/u/6831850748,無限進步,福建 泉州,m,77,227,100,128,1,195,324,nan
8,4876840658797055,2567340663,23年03月08日 08:48,直接申请复核啊 在这里讲也没用,来自福建,4876939683170638,0,9,直接申请复核啊 在这里讲也没用,2932494543,dashu233,https://weibo.com/u/2932494543,杂乱无章 废话连篇,其他,m,247,103,59,34,0,116,150,nan
9,4876840658797055,2567340663,23年03月08日 13:35,网爆自己？,来自福建,4877011949977894,0,5,网爆自己？,7291042860,华梦流年灬,https://weibo.com/u/7291042860,天灰灰，会不会，让我忘了你是谁,其他,m,2,28,7,2,0,0,2,nan
10,4876840658797055,2567340663,23年03月08日 21:04,光发个分数就说人家黑幕！考不上都是学校的问题,来自山西,4877124924080767,0,3,光发个分数就说人家黑幕！考不上都是学校的问题,6310186822,大鱼等于贰_gh,https://weibo.com/u/6310186822,真正美丽的东西从不刻意求关注！,其他,m,26,401,6,0,0,4,4,nan
11,4876840658797055,2567340663,23年03月08日 14:51,你好好考了没有,来自福建,4877031232243950,0,3,你好好考了没有,6883508975,核动力骡子,https://weibo.com/u/6883508975,有的事情记不住了也是一种幸运,福建 福州,m,58,196,254,441,0,316,757,nan
12,4876840658797055,2567340663,23年03月08日 14:21,我也是福州大学，专业课113(我确实没注意一些细节，但真的不压分),来自广东,4877023594680184,0,7,我也是福州大学，专业课113(我确实没注意一些细节，但真的不压分),5677856108,还是养猪好啊,https://weibo.com/u/5677856108,请你加油努力奔向前方,其他,m,267,53,412,118,2,329,449,nan
13,4876840658797055,2567340663,23年03月15日 04:49,啊，这分数……有问题就去复核就好了，发微有什么用吗，多看点书多做点题吧,来自福建,4879416348115310,0,0,啊，这分数……有问题就去复核就好了，发微有什么用吗，多看点书多做点题吧,3550952412,话梅糖SugarPlum,https://weibo.com/u/3550952412,从心Just For Myself.,福建 福州,f,265,235,686,82,48,279,409,nan
14,4876840658797055,2567340663,23年03月09日 03:03,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />不尴尬吗妹子",来自福建,4877215415927351,0,0,[允悲]不尴尬吗妹子,1923747941,爱牡丹更爱玫瑰,https://weibo.com/u/1923747941,玫瑰总是艳丽的，但你看不出背后的尖刺,福建 福州,f,232,143,845,511,130,3,644,nan
15,4876840658797055,2567340663,23年03月09日 00:51,"开个小号来搞笑了<img alt=""[裂开]"" title=""[裂开]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1b/202011_liekai_org.png"" />感觉分数不对就复查，想笑死谁了。",来自福建,4877182075406922,0,0,开个小号来搞笑了[裂开]感觉分数不对就复查，想笑死谁了。,1733680850,不爱吃的阿泰,https://weibo.com/u/1733680850,分享日常365天吃吃喝喝。,福建,m,951,382,893,"1,405",0,999,"2,404",国家二级田径运动员
16,4876840658797055,2567340663,23年03月08日 22:08,别乱叫,来自山东,4877141038075828,0,1,别乱叫,5925454774,7tnaruDniveK,https://weibo.com/u/5925454774,生活没有诗也没有远方,山东,m,1753,268,1999,"2,665",24,"3,788","6,477",体育博主 超话粉丝大咖（杜兰特超话）
17,4876840658797055,2567340663,23年03月08日 02:14,"你好，你感兴趣的“福州大学考研”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; <a target=""_blank"" href=""https://weibo.com/p/100808f88096b160bbfdbc1f3865cd93ebdb33""><img class=""icon-link"" title=""#福州大学考研[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>福州大学考研超话</a>",nan,4876840663777402,0,2,你好，你感兴趣的“福州大学考研”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入>> #福州大学考研[超话]#,5878659096,超话社区,https://weibo.com/u/5878659096,,北京,m,237742259,1720,27051,"2,912,301","5,990,786","57,364,835","66,267,922",超话社区官方微博
18,4876840658797055,2567340663,23年03月08日 22:50,哥们，7分？你还不如想想是不是自己涂卡涂错了,来自福建,4877151529341145,0,3,哥们，7分？你还不如想想是不是自己涂卡涂错了,6352165263,今日无事l,https://weibo.com/u/6352165263,没啥可以介绍的。,福建 福州,m,86,37,7,0,0,1,1,nan
19,4876840658797055,2567340663,23年03月08日 21:06,别笑死人了，有些学校确实压分。不过那种都是有排名，大家能看到压分。你这啥都没有就说压分？？压分压到7分？？你就对了一两道小题目叫压分？ 英语已经够烂了。没想到两门专业课加起来等于英语。,来自江苏,4877125587571897,0,4,别笑死人了，有些学校确实压分。不过那种都是有排名，大家能看到压分。你这啥都没有就说压分？？压分压到7分？？你就对了一两道小题目叫压分？ 英语已经够烂了。没想到两门专业课加起来等于英语。,7803092149,你告诉我该取什么名字,https://weibo.com/u/7803092149,啥都不会的废柴男研究生  181   17,江苏,m,5,332,21,38,0,41,79,nan
20,4876840658797055,2567340663,23年03月09日 00:20,大哥你像是涂卡涂错了啊,来自福建,4877174408482601,0,1,大哥你像是涂卡涂错了啊,3301600871,种花家的湖建兔,https://weibo.com/u/3301600871,伤害别人的同时，也是在毁灭自己。,福建 厦门,f,263,581,1651,"1,627",51,"2,284","3,962",nan
21,4876840658797055,2567340663,23年03月08日 18:55,这分数就是操作了又怎样 离录取线太多了吧,来自甘肃,4877092468035276,0,1,这分数就是操作了又怎样 离录取线太多了吧,6400248844,DjcDjcDjcDjcDjc,https://weibo.com/u/6400248844,省吃俭用多日 宴请年少的自己,其他,m,1,135,107,0,1,6,7,nan
22,4876840658797055,2567340663,23年03月11日 22:44,总结一下，命苦不能怪政府。运气使然。,来自福建,4878237328745042,0,0,总结一下，命苦不能怪政府。运气使然。,1495401260,木虎哥哥,https://weibo.com/u/1495401260,人生，走好自已的路很重要。,福建 福州,m,9,49,57,8,30,2,40,nan
23,4876840658797055,2567340663,23年03月11日 08:44,"这是不认输啊这是<img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" />",来自福建,4878025839086410,0,0,这是不认输啊这是[汗],3291599122,今天砖头热乎呢,https://weibo.com/u/3291599122,下大雨啦，我们私奔吧。,福建 福州,m,594,395,4308,392,667,339,"1,398",nan
24,4876840658797055,2567340663,23年03月10日 17:42,哈哈哈，你像是在能考7分数学的人啊,来自福建,4877798919110705,0,0,哈哈哈，你像是在能考7分数学的人啊,2140795917,今晚记得去健身喔,https://weibo.com/u/2140795917,健身健身💪🏻,广东,f,234,618,908,150,46,239,435,nan
25,4876840658797055,2567340663,23年03月10日 12:32,怎么说呢……听平均的就是了,来自福建,4877721001789092,0,0,怎么说呢……听平均的就是了,3866641118,逢考必过的大理想家耶耶耶,https://weibo.com/u/3866641118,世事烟火缭绕，流云长挂人间。,福建 福州,m,143,58,46,8,0,9,17,nan
26,4876840658797055,2567340663,23年03月09日 14:17,"<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />你是不是试卷不会做",来自福建,4877384890974556,0,0,[挖鼻]你是不是试卷不会做,6929963126,穿过黑暗森林1,https://weibo.com/u/6929963126,🇨🇳,其他,m,17,106,14,0,0,17,17,nan
27,4876840658797055,2567340663,23年03月09日 12:39,考7分，你也好意思坐那俩小时？,来自福建,4877360329133838,0,1,考7分，你也好意思坐那俩小时？,3254355714,easymoney-11,https://weibo.com/u/3254355714,取是能力 舍是境界,福建 三明,m,1076,86,61,95,0,109,204,nan
28,4876840658797055,2567340663,23年03月09日 10:02,找自己身上的原因,来自福建,4877320839759567,0,0,找自己身上的原因,7721233271,Winchester_qp,https://weibo.com/u/7721233271,,其他,f,0,57,0,0,0,0,0,nan
29,4876840658797055,2567340663,23年03月08日 21:16,数学考这么点大概率是怪自己,来自重庆,4877127994312701,0,0,数学考这么点大概率是怪自己,7793748324,JerryOneWy,https://weibo.com/u/7793748324,,重庆,m,17,130,4,1,0,5,6,nan
30,4876840658797055,2567340663,23年03月08日 20:58,是不是抹不开家里的面啊,来自山东,4877123552283244,0,0,是不是抹不开家里的面啊,6877700764,野生邓布利多,https://weibo.com/u/6877700764,是邓布利多不是甘道夫,其他,m,13,399,1462,14,0,17,31,nan
31,4876840658797055,2567340663,23年03月08日 20:07,笑死,来自福建,4877110651388105,0,0,笑死,7730717919,烧不开的开水君,https://weibo.com/u/7730717919,,其他,m,1,58,72,24,0,13,37,nan
32,4876840658797055,2567340663,23年03月08日 19:46,真的看不懂评论区,来自福建,4877105324887463,0,1,真的看不懂评论区,5435109352,珍珠奶酪包,https://weibo.com/u/5435109352,自由万金不换,福建 漳州,f,218,309,222,168,34,587,789,nan
33,4876840658797055,2567340663,23年03月08日 18:14,张口就来 我真的笑鼠,来自四川,4877082296850468,0,0,张口就来 我真的笑鼠,1856501982,我的柠檬灯,https://weibo.com/u/1856501982,您美死了,四川 成都,m,370,143,812,122,45,856,"1,023",nan
34,4876840658797055,2567340663,23年03月08日 18:03,"成绩直接申请复核不就好了嘛，这也不是面试成绩，数学题都是客观题，这个考成啥样自己心里应该有数吧<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自安徽,4877079327282864,0,1,成绩直接申请复核不就好了嘛，这也不是面试成绩，数学题都是客观题，这个考成啥样自己心里应该有数吧[允悲],2552812645,恒昕528,https://weibo.com/u/2552812645,To be a better man！！,安徽 合肥,m,124,570,255,9,1,79,89,nan
35,4876840658797055,2567340663,23年03月08日 17:33,这是我见过考研分数，考最低的了,来自福建,4877071819997901,0,1,这是我见过考研分数，考最低的了,5717811289,cool_男孩,https://weibo.com/u/5717811289,,福建 泉州,m,5,33,100,5,0,0,5,nan
36,4876840658797055,2567340663,23年03月08日 16:27,举报,来自山东,4877055352898153,0,0,举报,5876152458,Renjiansyff,https://weibo.com/u/5876152458,人间四月,山东 济南,m,323,169,94,37,1,145,183,nan
37,4876840658797055,2567340663,23年03月08日 16:22,"你这是没学<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自湖北,4877053952525899,0,0,你这是没学[允悲][允悲],5938085057,黄伦193,https://weibo.com/u/5938085057,我的生命忠诚于党 我的信仰万丈光芒  天蝎just想扣篮的前锋🏀🏀🏀净身高194命比腿长 在资本面前，真理也得让步，这是社会,其他,m,2571,49,95,109,1,163,273,nan
38,4876840658797055,2567340663,23年03月08日 16:13,"7分是咋出来的<img alt=""[哆啦A梦害怕]"" title=""[哆啦A梦害怕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/35/2022_dorashock_org.png"" />",来自江苏,4877051851443341,0,1,7分是咋出来的[哆啦A梦害怕],7631753258,烧玩具,https://weibo.com/u/7631753258,永康陵墓主人,陕西 西安,m,70,457,362,434,9,633,"1,076",nan
39,4876840658797055,2567340663,23年03月08日 14:41,"<a href=/n/八爪泡泡1314 usercard=""name=@八爪泡泡1314"">@八爪泡泡1314</a>",来自内蒙古,4877028484449664,0,0,@八爪泡泡1314,7761203678,幼稚pelemo,https://weibo.com/u/7761203678,♉️infj,其他,m,61,221,156,212,0,229,441,nan
40,4876840658797055,2567340663,23年03月08日 14:37,这数分也太拉了吧,来自广东,4877027704833823,0,0,这数分也太拉了吧,2196185611,MF聪,https://weibo.com/u/2196185611,Fiendishly clever!,广东 广州,m,415,255,50,312,25,12,349,nan
