,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5047359258233037,1073154460,24年07月07日 20:09,"你别太恨她<img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" />",来自陕西,5053594053644723,4,7,你别太恨她[鲜花],2553750655,芋泥雪梨卷,https://weibo.com/u/2553750655,,陕西,f,2,475,495,62,1,115,178,
1,5047359258233037,1073154460,24年11月03日 15:38,"结论出来了，评论中的一些喷子门出来走两步。<a href=""//s.weibo.com/weibo?q=%23%E5%A7%9C%E6%9F%90%E6%95%B0%E5%AD%A6%E7%AB%9E%E8%B5%9B%E7%B3%BB%E8%80%81%E5%B8%88%E6%8F%90%E4%BE%9B%E5%B8%AE%E5%8A%A9%23"" target=""_blank"">#姜某数学竞赛系老师提供帮助#</a> <a href=""//s.weibo.com/weibo?q=%23%E5%A7%9C%E8%90%8D%E5%88%9D%E8%B5%9B%E6%88%90%E7%BB%A9%E8%BF%9D%E5%8F%8D%E8%A7%84%E5%88%99%23"" target=""_blank"">#姜萍初赛成绩违反规则#</a> <a href=""//s.weibo.com/weibo?q=%23%E9%98%BF%E9%87%8C%E5%B7%B4%E5%B7%B4%E5%85%A8%E7%90%83%E6%95%B0%E5%AD%A6%E7%AB%9E%E8%B5%9B%E8%8E%B7%E5%A5%96%E5%90%8D%E5%8D%95%E5%85%AC%E5%B8%83%23"" target=""_blank"">#阿里巴巴全球数学竞赛获奖名单公布#</a> <a href=""//s.weibo.com/weibo?q=%23%E7%8E%8B%E6%9F%90%E6%9F%90%E4%B8%BA%E5%A7%9C%E8%90%8D%E7%AB%9E%E8%B5%9B%E6%8F%90%E4%BE%9B%E5%B8%AE%E5%8A%A9%E8%A2%AB%E5%A4%84%E5%88%86%23"" target=""_blank"">#王某某为姜萍竞赛提供帮助被处分#</a> <a href=""//s.weibo.com/weibo?q=%23%E6%95%99%E8%82%B2%E9%83%A8%E9%97%A8%E5%9B%9E%E5%BA%94%E5%A7%9C%E8%90%8D%E8%83%BD%E4%B8%8D%E8%83%BD%E8%80%83%E6%B5%99%E5%A4%A7%23"" target=""_blank"">#教育部门回应姜萍能不能考浙大#</a><a href=""//s.weibo.com/weibo?q=%23%E5%A7%9C%E8%90%8D%E9%81%AD%E8%B4%A8%E7%96%91%23"" target=""_blank"">#姜萍遭质疑#</a><a href=""//s.weibo.com/weibo?q=%23%E5%A7%9C%E8%90%8D%E4%B8%AD%E8%80%83621%E5%88%86%E5%8D%B4%E4%B8%8A%E4%B8%AD%E4%B8%93%E7%9A%84%E5%8E%9F%E5%9B%A0%23"" target=""_blank"">#姜萍中考621分却上中专的原因#</a>",来自安徽,5096650094150983,0,0,结论出来了，评论中的一些喷子门出来走两步。#姜某数学竞赛系老师提供帮助# #姜萍初赛成绩违反规则# #阿里巴巴全球数学竞赛获奖名单公布# #王某某为姜萍竞赛提供帮助被处分# #教育部门回应姜萍能不能考浙大##姜萍遭质疑##姜萍中考621分却上中专的原因#,1073154460,好片才分享,https://weibo.com/u/1073154460,社会热点、军事、影视、纪录片视频博主,安徽,m,1611,301,1044,"1,171",205,"6,771","8,147",微博剪辑视频博主
2,5047359258233037,1073154460,24年11月03日 15:35,"结论出来了，评论中的一些喷子门出来走两步。<a href=""//s.weibo.com/weibo?q=%23%E6%95%99%E8%82%B2%E9%83%A8%E9%97%A8%E5%9B%9E%E5%BA%94%E5%A7%9C%E8%90%8D%E8%83%BD%E4%B8%8D%E8%83%BD%E8%80%83%E6%B5%99%E5%A4%A7%23"" target=""_blank"">#教育部门回应姜萍能不能考浙大#</a><a href=""//s.weibo.com/weibo?q=%23%E5%A7%9C%E8%90%8D%E9%81%AD%E8%B4%A8%E7%96%91%23"" target=""_blank"">#姜萍遭质疑#</a><a href=""//s.weibo.com/weibo?q=%23%E5%A7%9C%E8%90%8D%E4%B8%AD%E8%80%83621%E5%88%86%E5%8D%B4%E4%B8%8A%E4%B8%AD%E4%B8%93%E7%9A%84%E5%8E%9F%E5%9B%A0%23"" target=""_blank"">#姜萍中考621分却上中专的原因#</a>",来自安徽,5096649234584077,0,0,结论出来了，评论中的一些喷子门出来走两步。#教育部门回应姜萍能不能考浙大##姜萍遭质疑##姜萍中考621分却上中专的原因#,1073154460,好片才分享,https://weibo.com/u/1073154460,社会热点、军事、影视、纪录片视频博主,安徽,m,1611,301,1044,"1,171",205,"6,771","8,147",微博剪辑视频博主
3,5047359258233037,1073154460,24年06月20日 20:49,小时候很穷，突然有一天我买了一双好点的鞋子，邻居都说我肯定是偷的。,来自山东,5047443622725163,145,2027,小时候很穷，突然有一天我买了一双好点的鞋子，邻居都说我肯定是偷的。,2568187013,莫邪20234,https://weibo.com/u/2568187013,,山东 济宁,m,352,679,218,166,75,625,866,
4,5047359258233037,1073154460,24年06月20日 18:47,这点是最诡异神奇的，至今没有任何一个同学出来，哪怕祝贺之类的都没有，无论初中同学还是中专同学，真是不可思议，不符合年轻人活跃互联网的特点,来自浙江,5047412718306573,85,240,这点是最诡异神奇的，至今没有任何一个同学出来，哪怕祝贺之类的都没有，无论初中同学还是中专同学，真是不可思议，不符合年轻人活跃互联网的特点,2138664037,波宝鱼,https://weibo.com/u/2138664037,爱家，爱生活,浙江 杭州,f,182,689,1706,52,5,20,77,
5,5047359258233037,1073154460,24年06月20日 16:56,有采访的，她之前从没展露过数学天赋，甚至一般偏下，更是没参加过任何比赛。一年半就顿悟了高斯华罗庚十几年努力的结果，就很突然，她的父母以为这就是个普通数学比赛，还没意识到女儿的天赋有多炸裂,来自广东,5047384776641781,81,200,有采访的，她之前从没展露过数学天赋，甚至一般偏下，更是没参加过任何比赛。一年半就顿悟了高斯华罗庚十几年努力的结果，就很突然，她的父母以为这就是个普通数学比赛，还没意识到女儿的天赋有多炸裂,7747599046,自己的爸爸是这么说的,https://weibo.com/u/7747599046,,其他,f,4,226,199,17,1,137,155,
6,5047359258233037,1073154460,24年06月20日 22:54,数学系还真不学高等数学，学的是数学分析、高等代数，这两门课比高等数学更深层次更难。至于博主说小词典覆盖不了英文版教材，纯属扯淡，我数学系当年不少教材是全英文，只要弄懂基本数学符号，那些单词查一查就能懂，姜萍什么水平我不清楚，但可以确定这个博主对于数学一窍不通,来自广东,5047474903843235,32,380,数学系还真不学高等数学，学的是数学分析、高等代数，这两门课比高等数学更深层次更难。至于博主说小词典覆盖不了英文版教材，纯属扯淡，我数学系当年不少教材是全英文，只要弄懂基本数学符号，那些单词查一查就能懂，姜萍什么水平我不清楚，但可以确定这个博主对于数学一窍不通,6679952092,见兔杀鹰,https://weibo.com/u/6679952092,少管我,其他,f,25,298,56,"1,113",413,"73,643","75,169",
7,5047359258233037,1073154460,24年06月21日 01:57,承认别人优秀就这么难吗,来自陕西,5047521124811571,42,242,承认别人优秀就这么难吗,6354816827,正版旧词,https://weibo.com/u/6354816827,不做午夜心碎小猫_,陕西 西安,f,16,104,120,39,4,81,124,
8,5047359258233037,1073154460,24年06月21日 06:07,现在什么时代了，进考场都是现代化设备搜，教室都有摄像头，你作弊试一下，人家考的高就祝福一下，天天质疑这质疑那个跟我们有啥关系，还是太闲了,来自江苏,5047583839880869,104,94,现在什么时代了，进考场都是现代化设备搜，教室都有摄像头，你作弊试一下，人家考的高就祝福一下，天天质疑这质疑那个跟我们有啥关系，还是太闲了,6195761725,山山家的睿清,https://weibo.com/u/6195761725,,江苏 盐城,m,131,922,4229,551,49,"1,072","1,672",
9,5047359258233037,1073154460,24年06月20日 18:23,高数、线代、概率不是三本书吗？上过高数课，讲话都是线代和概率论这些具体内容？？,来自贵州,5047406731200954,11,107,高数、线代、概率不是三本书吗？上过高数课，讲话都是线代和概率论这些具体内容？？,6246105295,果橙不见了,https://weibo.com/u/6246105295,懒~懒~,贵州,f,12,331,139,176,0,213,389,
10,5047359258233037,1073154460,24年06月21日 05:04,原来这件事情真的有人质疑。。。和你们到底有什么关系有什么好质疑的。。。,来自山东,5047568038101475,13,101,原来这件事情真的有人质疑。。。和你们到底有什么关系有什么好质疑的。。。,5715582634,萌之吃吃包布猫思,https://weibo.com/u/5715582634,我要勇敢一些，可为何我是颗玻璃心，为何在污蔑来临时还是伊伊啊啊拼凑不出完整的话，为何不能真正帮到你些什么。原来，从来都是光在照亮我,山东,m,21,185,2130,"1,068",25,"3,677","4,770",
11,5047359258233037,1073154460,24年06月20日 19:50,我原本以为她只是因为一科数学特别好，其他学科偏科才上的中专，但是有人挖出了她在学校的试卷，才考八十几分，再加上现场板书的错误，这不由得让人质疑，不过在真相大白之前也不能妄下定论，是金子总会发光，一切等决赛再见，是骡子是马拉出来溜溜,来自福建,5047428682876421,13,66,我原本以为她只是因为一科数学特别好，其他学科偏科才上的中专，但是有人挖出了她在学校的试卷，才考八十几分，再加上现场板书的错误，这不由得让人质疑，不过在真相大白之前也不能妄下定论，是金子总会发光，一切等决赛再见，是骡子是马拉出来溜溜,7337712906,致敬我们喂了狗的青春,https://weibo.com/u/7337712906,,福建 厦门,m,1,53,0,0,0,0,0,
12,5047359258233037,1073154460,24年06月21日 08:58,评论区可见微博人均学历低下…,来自四川,5047627026269045,17,66,评论区可见微博人均学历低下…,6488661845,马上变有钱va,https://weibo.com/u/6488661845,愿望是天天开心,其他,f,604,185,332,480,36,"1,591","2,107",
13,5047359258233037,1073154460,24年06月20日 18:55,原本一个小谎言，一不下心天下皆知，就只能用更大的谎言来掩盖,来自广东,5047414753594011,2,89,原本一个小谎言，一不下心天下皆知，就只能用更大的谎言来掩盖,6163329494,才不寂寞才不流离,https://weibo.com/u/6163329494,只是颗尘埃，四处漂流,湖南 娄底,m,9,25,11,2,0,3,5,
14,5047359258233037,1073154460,24年06月21日 20:57,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />这么说吧我不怀疑她，是因为让我去考，即使是开卷，还可以联系场外，我也找不到能帮我答这种题的人。",来自山东,5047807804967720,7,32,[允悲]这么说吧我不怀疑她，是因为让我去考，即使是开卷，还可以联系场外，我也找不到能帮我答这种题的人。,6884167770,王怼怼的小摩托,https://weibo.com/u/6884167770,,其他,f,1,43,686,47,17,355,419,
