,main_body_mid,main_body_uid,发布时间,处理内容,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,4541039555394332,1146073467,20年08月23日 11:06,对呢，希望可以网暴你,4541040999269556,2,36,对呢，希望可以网暴你,1723555692,我是赵立坚的小迷弟,https://weibo.com/u/1723555692,属性：天生顺直男，龙子 最爱阳刚大男孩 终极技能：虚空锁敌,海外,f,639,825,1980,"1,473",126,"5,389","6,988"
1,4541039555394332,1146073467,20年08月23日 11:37,"那你以后犯贱的时候 希望也有人打的你肝脏损伤 你也别去找别人说你冤 受着就好了<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />别指望别人帮你",4541048627406141,8,6,那你以后犯贱的时候 希望也有人打的你肝脏损伤 你也别去找别人说你冤 受着就好了[微笑]别指望别人帮你,5854170194,wwwwwzzzzznnnnn,https://weibo.com/u/5854170194,随心所欲,浙江 宁波,f,47,309,907,622,37,"1,030","1,689"
2,4541039555394332,1146073467,20年08月23日 11:38,你真不要脸,4541048862554396,5,1,你真不要脸,6086024204,这是极好的兜兜,https://weibo.com/u/6086024204,,北京,m,154,322,1268,"2,030",38,"6,988","9,056"
3,4541039555394332,1146073467,20年08月23日 11:38,周做错了可以提交司法机关来处理，在热搜上暴露他的名字学校单位这个严重侵犯了他的隐私权,4541049068070916,0,2,周做错了可以提交司法机关来处理，在热搜上暴露他的名字学校单位这个严重侵犯了他的隐私权,1009641912,雷母连小连,https://weibo.com/u/1009641912,,海外,f,72,306,369,2,0,19,21
4,4541039555394332,1146073467,20年08月23日 11:26,希望你被虐打了或者你家财产被损坏索赔无门的时候也能说出这样的话哦🙃,4541045952742901,1,4,希望你被虐打了或者你家财产被损坏索赔无门的时候也能说出这样的话哦🙃,5885284666,晚来天欲雪hot,https://weibo.com/u/5885284666,雨我无瓜。20.3.1,广东,m,75,596,943,435,28,"1,169","1,632"
5,4541039555394332,1146073467,20年08月25日 19:39,"我要当网暴你的一片雪花<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />",4541894720229314,3,0,我要当网暴你的一片雪花[微笑],6540429598,一位道姑朋友,https://weibo.com/u/6540429598,,其他,f,2,16,4,0,0,1,1
6,4541039555394332,1146073467,20年08月23日 11:11,"那你为什么点赞摔死孩子人渣应该死刑的那条微博呢<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />。你和网暴的人有有什么区别，等法律判决不行吗？",4541042214576351,26,34,那你为什么点赞摔死孩子人渣应该死刑的那条微博呢[doge]。你和网暴的人有有什么区别，等法律判决不行吗？,1792904042,Hester_0227,https://weibo.com/u/1792904042,剧场里的戏，什么都是假的，只有观众是真的；人生的戏，什么都是真的，只有观众是假的。,福建 厦门,f,644,493,3683,"5,219",485,"3,194","8,898"
7,4541039555394332,1146073467,20年08月23日 11:19,干嘛一副众人皆醉我独醒的样子，三观不正第一名,4541044153128235,0,14,干嘛一副众人皆醉我独醒的样子，三观不正第一名,5533463376,AAA_煎饼卷大葱,https://weibo.com/u/5533463376,达朗贝尔的粉头,其他,f,145,700,454,356,0,120,476
8,4541039555394332,1146073467,20年08月23日 11:11,但是博美惹他了？？？他暴打一个无辜的小狗还有理了？该！！！,4541042260710198,1,14,但是博美惹他了？？？他暴打一个无辜的小狗还有理了？该！！！,5259602558,软萌奶黄包儿,https://weibo.com/u/5259602558,北极以南,其他,f,22,498,254,21,1,216,238
9,4541039555394332,1146073467,20年08月23日 11:10,这种事怎么说呢  周虐打博美在前，网友顶多以其人之道还他而已    你小孩被一家长打了 你去打了那个家长  如果没有前方 那怎么会引起后面的事吗 所以每个人做好自己而已  也就不会有后面的事,4541041892134032,0,12,这种事怎么说呢  周虐打博美在前，网友顶多以其人之道还他而已    你小孩被一家长打了 你去打了那个家长  如果没有前方 那怎么会引起后面的事吗 所以每个人做好自己而已  也就不会有后面的事,7360842687,確巢哭闹,https://weibo.com/u/7360842687,,北京,f,41,1259,851,151,17,208,376
10,4541039555394332,1146073467,20年08月23日 11:25,"只是希望学校有所作为不要收道德品质败坏的人<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />",4541045641060082,0,2,只是希望学校有所作为不要收道德品质败坏的人[微笑],2248494823,aoccess,https://weibo.com/u/2248494823,素质不详 遇强则强,海外 希腊,f,3115,88,114,115,0,154,269
11,4541039555394332,1146073467,20年08月23日 11:27,"对对对，我们是网络暴民，就你清醒理智，把嘴闭上行吧，但凡受过教育有点素质的人看到虐待动物都会生气，可能你没有吧<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />",4541046216982827,0,5,对对对，我们是网络暴民，就你清醒理智，把嘴闭上行吧，但凡受过教育有点素质的人看到虐待动物都会生气，可能你没有吧[微笑],1825151213,长歌志在安邦,https://weibo.com/u/1825151213,拥抱人生的一切可能,陕西,f,586,138,8836,946,273,"5,239","6,458"
12,4541039555394332,1146073467,20年08月23日 11:07,有的吧，周做错事了，博美没做错事,4541041154197685,0,5,有的吧，周做错事了，博美没做错事,7393333147,三行鬼话,https://weibo.com/u/7393333147,,浙江,m,4,52,4,0,0,3,3
13,4541039555394332,1146073467,20年08月23日 21:45,希望你家也来个打你家东西的人，你就憋着别说话让他继续,4541201618844362,0,1,希望你家也来个打你家东西的人，你就憋着别说话让他继续,6898131849,握石泥拔拔,https://weibo.com/u/6898131849,哈喽,其他,m,1,116,14,0,0,4,4
14,4541039555394332,1146073467,20年08月23日 14:47,他不做出来伤天害理的事，会网暴他吗，你这语气就像杀人犯杀了人，你建议别处决杀人犯，要不和杀人犯没区别，，，一个什么样的人，可以把别人对他的帮助反害到帮助人，，一点感恩的都没有，这种人学历高了。只会危害更高，祸害老百姓,4541096610238435,0,2,他不做出来伤天害理的事，会网暴他吗，你这语气就像杀人犯杀了人，你建议别处决杀人犯，要不和杀人犯没区别，，，一个什么样的人，可以把别人对他的帮助反害到帮助人，，一点感恩的都没有，这种人学历高了。只会危害更高，祸害老百姓,6165344554,不吃猫的鱼儿666,https://weibo.com/u/6165344554,,广东 深圳,f,1,240,1,0,0,0,0
15,4541039555394332,1146073467,20年08月23日 12:23,确实不该泄露他的隐私 不过博美没做错什么不该被打 他那么变态 是该被批斗惩罚,4541060200531935,0,1,确实不该泄露他的隐私 不过博美没做错什么不该被打 他那么变态 是该被批斗惩罚,6370043968,嘻嘻嘻席席席,https://weibo.com/u/6370043968,苦中作乐 失中望得,其他,f,77,139,225,107,0,64,171
16,4541039555394332,1146073467,20年08月23日 11:14,赞同,4541043049758772,0,0,赞同,3891846819,幽小尤,https://weibo.com/u/3891846819,平平安安，一切顺利！一定可以实现复兴，我愿意为此奋斗终身！,北京 东城区,f,122,583,6778,"1,267",179,"6,321","7,767"
17,4541039555394332,1146073467,20年08月23日 11:10,？本质,4541041866178878,0,1,？本质,6250296992,贪食者烙印,https://weibo.com/u/6250296992,,其他,f,29,347,802,5,1,28,34
18,4541039555394332,1146073467,20年08月23日 11:27,"声讨坏人还有错了<img alt=""[吐]"" title=""[吐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/08/2018new_tu_org.png"" /><img alt=""[吐]"" title=""[吐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/08/2018new_tu_org.png"" /><img alt=""[吐]"" title=""[吐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/08/2018new_tu_org.png"" />",4541046099025146,0,1,声讨坏人还有错了[吐][吐][吐],5885284666,晚来天欲雪hot,https://weibo.com/u/5885284666,雨我无瓜。20.3.1,广东,m,75,596,943,435,28,"1,169","1,632"
19,4541039555394332,1146073467,20年08月23日 11:37,你真的有些三观不正，最重要的一点他不是单纯的虐狗，他是住在主人家里去伤害人家的生命财产。从精神层面上讲，一些主人将宠物当做家人，你借住在别人家里还杀人家，你好意思吗？有道德吗？你确实和他是一类人。,4541048690314254,0,2,你真的有些三观不正，最重要的一点他不是单纯的虐狗，他是住在主人家里去伤害人家的生命财产。从精神层面上讲，一些主人将宠物当做家人，你借住在别人家里还杀人家，你好意思吗？有道德吗？你确实和他是一类人。,7050338875,Celestial31942,https://weibo.com/u/7050338875,,其他,m,1,188,107,0,0,31,31
20,4541039555394332,1146073467,20年08月24日 12:43,赞成，这帮人把人逼死的节奏，法不责众。,4541427625494516,0,0,赞成，这帮人把人逼死的节奏，法不责众。,7410303283,重拳出击老东西,https://weibo.com/u/7410303283,当然也爱猫猫狗狗，只不过，多点理性去待人，待事。,其他,f,2,28,9,39,6,158,203
