,main_body_mid,main_body_uid,发布时间,处理内容,mid,回复数量,点赞数量,原生内容,评论地点,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5037266419844277,1897723622,24年05月23日 18:51,"<a href=""//s.weibo.com/weibo?q=%23%E7%A6%8F%E5%B7%9E%E5%A4%A7%E5%AD%A6%E4%B8%80%E7%94%B7%E7%94%9F%E7%8C%A5%E4%BA%B5%E5%A5%B3%E7%94%9F%23"" target=""_blank"">#福州大学一男生猥亵女生#</a>学法守法第一条<a href=/n/法治四川 usercard=""name=@法治四川"">@法治四川</a> ",5037266816730257,3,4,#福州大学一男生猥亵女生#学法守法第一条@法治四川 ,,2801287904,四川监狱,https://weibo.com/u/2801287904,四川省监狱管理局官方微博,,四川 成都,m,0,27,0,"3,296,348","5,571,790","1,570,969","10,439,107"
1,5037266419844277,1897723622,24年05月23日 19:33,关注,5037277536061000,1,5,关注,,3170665862,成都地铁运营,https://weibo.com/u/3170665862,成都地铁运营有限公司,欢迎关注成都地铁运营官方微博，我们坚持“秉持真诚，服务大众”的理念竭诚为大家服务。服务与监督热线：61638000。,四川 成都,m,329546,587,74579,"1,113,810","151,293","1,272,625","2,537,728"
2,5037266419844277,1897723622,24年05月23日 20:42,"关注<img alt=""[赢牛奶]"" title=""[赢牛奶]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9c/2021_yingniunai_org.png"" />",5037294925647032,1,1,关注[赢牛奶],,2488354997,贵港共青团,https://weibo.com/u/2488354997,共青团贵港市委官方微博,.,其他,m,29461,542,10817,"394,671","40,859","170,638","606,168"
3,5037266419844277,1897723622,24年05月23日 20:25,"关注<a href=/n/法治四川 usercard=""name=@法治四川"">@法治四川</a>",5037290634086417,1,1,关注@法治四川,,3886230775,环翠发布,https://weibo.com/u/3886230775,威海市环翠区融媒体中心官方微博,最威海 是环翠； 环翠政务信息，第一时间权威发布,山东,f,107125,773,66316,"709,500","177,422","430,679","1,317,601"
4,5037266419844277,1897723622,24年05月23日 19:48,关注,5037281281574654,1,1,关注,,1919210311,绵阳特巡警,https://weibo.com/u/1919210311,四川省绵阳市公安局巡特警支队官方微博,,四川 绵阳,f,35238,1057,24587,"361,892","10,694","299,742","672,328"
5,5037266419844277,1897723622,24年05月23日 19:39,关注,5037278950852445,1,1,关注,,2609505484,南铁永安车务段,https://weibo.com/u/2609505484,中国铁路南昌局集团有限公司永安车务段官方微博,永安车务段隶属南昌铁路局，下辖鹰厦铁路中段青州至卓宅站，永嘉铁路支线坑边至加福站间的31个火车站。线路里程240多公里。,福建,m,19426,254,52788,"81,443","101,553","152,336","335,332"
6,5037266419844277,1897723622,24年05月23日 19:36,"<img alt=""[话筒]"" title=""[话筒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/48/2018new_huatong_org.png"" /><img alt=""[话筒]"" title=""[话筒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/48/2018new_huatong_org.png"" />",5037278247781760,1,1,[话筒][话筒],,2240099322,安徽气象,https://weibo.com/u/2240099322,安徽省气象局官方微博,关注天气，关心冷暖，安徽气象与您风雨同舟。 曾用名：江淮气象 乳名：淮淮,安徽,m,630274,703,97907,"487,186","151,530","620,129","1,258,845"
7,5037266419844277,1897723622,24年05月23日 19:30,关注,5037276658928933,1,1,关注,,3861599674,城固法院,https://weibo.com/u/3861599674,陕西省汉中市城固县人民法院官方微博,,陕西 汉中,m,14332,1451,60075,"311,863","14,866","151,812","478,541"
8,5037266419844277,1897723622,24年05月23日 19:18,"一起学法<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",5037273705351880,1,1,一起学法[心],来自江苏,2242053461,为喜欢喝冬瓜茶,https://weibo.com/u/2242053461,娱乐博主 超话粉丝大咖（邓为超话） 微博剪辑视频博主,唯爱邓为，一生💎💜,江苏 无锡,f,27954,1823,16997,"135,509","34,215","228,471","398,195"
9,5037266419844277,1897723622,24年05月23日 20:30,关注,5037291897097699,1,1,关注,,2000090825,品质崇州,https://weibo.com/u/2000090825,中共崇州市委宣传部官方微博,四川省崇州市官方微博,四川 成都,m,423219,678,89243,"750,481","1,028,439","813,997","2,592,917"
10,5037266419844277,1897723622,24年05月23日 19:49,"关注！<img alt=""[努力]"" title=""[努力]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7c/2022_Keepgoing_org.png"" /><img alt=""[话筒]"" title=""[话筒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/48/2018new_huatong_org.png"" />",5037281589068020,1,1,关注！[努力][话筒],来自澳大利亚,7417809824,寵愛花好月圆,https://weibo.com/u/7417809824,,我是土生土长的中国香港人。 籍贯：山东省。 爸爸和叔父是香港警署前退休警长。本人职业则不是做警察。,香港,f,5257,8891,117963,"50,160","14,664","92,934","157,758"
11,5037266419844277,1897723622,24年05月23日 19:30,"学法律涨知识<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />",5037276706903165,1,1,学法律涨知识[太开心],来自河北,5663033580,Bzhgqm,https://weibo.com/u/5663033580,微博剪辑视频博主,,河北,m,288,664,2270,"9,699",24,"7,432","17,155"
12,5037266419844277,1897723622,24年05月23日 19:00,学习了。,5037269323614827,1,1,学习了。,来自宁夏,2508589222,MD-拂衣,https://weibo.com/u/2508589222,游戏博主 超话粉丝大咖（摩登兄弟超话） 微博原创视频博主,🌻🌻唯✨粉💛刘⭐宇✨宁💛🌻🌻   不呼，谢谢。请不要随意关注我，关了又取消的，拉黑。,四川,f,11896,1479,2957,"85,102","7,233","74,537","166,872"
13,5037266419844277,1897723622,24年05月23日 18:55,学习,5037268039893631,1,1,学习,来自上海,2219186200,荔枝草莓脆,https://weibo.com/u/2219186200,超话粉丝钻咖（陈牧驰超话） 微博剪辑视频博主,镇魂。有一分热，发一分光，就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。,上海,f,1540,1257,8638,"20,300",184,"12,437","32,921"
14,5037266419844277,1897723622,24年05月23日 19:15,转发微博,5037272913674909,1,1,转发微博,来自上海,6149140327,一心所向lg,https://weibo.com/u/6149140327,,正义一直在迟到，还是根本就没有正义！ 缺席的不叫正义，那是真相！不过是事实被揭露罢了！,其他,m,4,156,995,51,5,245,301
15,5037266419844277,1897723622,24年05月23日 19:00,学习,5037269087684457,1,1,学习,来自广东,7904286416,守护DD这小太阳,https://weibo.com/u/7904286416,,月下的东方员外,广西 柳州,f,58,200,962,212,4,39,255
16,5037266419844277,1897723622,24年05月23日 20:20,调戏骚扰女生法律明文不清晰，造成判罚漏洞巨大,5037289434518697,0,0,调戏骚扰女生法律明文不清晰，造成判罚漏洞巨大,来自四川,6029391312,天涯浪子金剑寒梅,https://weibo.com/u/6029391312,,透析”未知前沿,四川,m,3708,1354,50858,"19,626","17,258","51,189","88,073"
