,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5037267271291469,2020253241,24年05月23日 19:11,还有这事儿啊。,来自山西,5037272013475042,8,还有这事儿啊。,2020253241,眠-LC,https://weibo.com/u/2020253241,法律博主 山西聚谦律师事务所 专职律师 罗超  微博新知博主,兴致盎然,其他,f,274557,332,23407,"77,742","25,747","489,128","592,617"
1,5037267271291469,2020253241,24年05月23日 19:46,22年福大男生进女生宿舍，也是这么干的。男生考上大学不容易,来自河南,5037280725044891,25,22年福大男生进女生宿舍，也是这么干的。男生考上大学不容易,2485391270,青争只想毕业啊,https://weibo.com/u/2485391270,,脆弱的疯子,浙江 温州,f,255,977,1255,589,60,"1,110","1,759"
2,5037267271291469,2020253241,24年05月23日 20:58,最讨厌和稀泥的了，和稀泥的跟施暴者一样可恶，和稀泥的怎么不遭遇一次类似的再说话,来自四川,5037298911808291,17,最讨厌和稀泥的了，和稀泥的跟施暴者一样可恶，和稀泥的怎么不遭遇一次类似的再说话,6161279021,Me_HH_Me,https://weibo.com/u/6161279021,,😶😶😶,其他,f,22,435,23,6,2,12,20
3,5037267271291469,2020253241,24年05月23日 22:24,"秒懂，现在也是我们班老师<img alt=""[跪了]"" title=""[跪了]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/75/2018new_gui_org.png"" />",来自福建,5037320510377251,11,秒懂，现在也是我们班老师[跪了],6034483844,暮鱼u,https://weibo.com/u/6034483844,,My scars I will show it all.,重庆 渝北区,f,53,581,823,392,2,629,"1,023"
4,5037267271291469,2020253241,24年05月24日 00:17,"<a href=/n/嗜血人字拖_ usercard=""name=@嗜血人字拖_"">@嗜血人字拖_</a>",来自福建,5037348964798182,0,@嗜血人字拖_,6576029330,Hnonoaechan,https://weibo.com/u/6576029330,,划划划 🐻🐹  ❌5d妈 排任一,其他,f,35,243,125,105,1,91,197
5,5037267271291469,2020253241,24年05月23日 20:03,我操是谁我现在在厦门校区,来自福建,5037285010312003,1,我操是谁我现在在厦门校区,2560185151,只是一支水母,https://weibo.com/u/2560185151,,春光浪费,浙江,f,124,1277,602,75,5,217,297
6,5037267271291469,2020253241,24年05月25日 15:53,"原来是传统技能<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自广东,5037946946717382,0,原来是传统技能[允悲],2821351162,y2c_Yang,https://weibo.com/u/2821351162,,,广东 广州,f,0,195,887,232,35,26,293
7,5037267271291469,2020253241,24年05月24日 00:24,我艹，你们福大的女生小心点！！！！,来自江西,5037350768347555,2,我艹，你们福大的女生小心点！！！！,7235899410,Lychee_杨,https://weibo.com/u/7235899410,,,其他,f,8,11,15,1,0,0,1
8,5037267271291469,2020253241,24年05月23日 23:40,听到的就好几个了，不止一个,来自福建,5037339634045000,0,听到的就好几个了，不止一个,6235832072,温悦infinity,https://weibo.com/u/6235832072,,"sorry, 暴雷大众雷点水产+💩团粉+lyn粉+🖐🏻🈷️天粉... 未完待续(重点讨厌粉丝不针对本人)",广东 深圳,f,59,690,894,"1,046",57,"4,235","5,338"
9,5037267271291469,2020253241,24年05月23日 19:06,"不会是我们系以前的老师吧<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自福建,5037270696467550,0,不会是我们系以前的老师吧[笑cry],7796541262,杰哥jjjjjjjjjjjjj诶,https://weibo.com/u/7796541262,,美丽的人生,福建 福州,m,0,54,10,2,0,3,5
10,5037267271291469,2020253241,24年05月23日 22:19,"回复<a href=/n/用户6271083293 usercard=""name=@用户6271083293"">@用户6271083293</a>:啊这，不要带上整个福建省的大学好吧<img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" />",来自福建,5037319340430822,2,回复@用户6271083293:啊这，不要带上整个福建省的大学好吧[黑线],5664985733,麣纞虋歌姬咯啦酱哒茉莉,https://weibo.com/u/5664985733,,,其他,m,185,1479,7062,"3,473",61,"1,003","4,537"
11,5037267271291469,2020253241,24年05月23日 21:30,所以福建省的大学都是这样吗？是这样的话，以后好避雷,来自上海,5037306841140430,0,所以福建省的大学都是这样吗？是这样的话，以后好避雷,6271083293,成为CFO需要几步,https://weibo.com/u/6271083293,,,其他,f,3,210,10,0,0,3,3
12,5037267271291469,2020253241,24年05月23日 20:52,"回复<a href=/n/眠-LC usercard=""name=@眠-LC"">@眠-LC</a>:我不太清楚，压得还挺严实的，细节没有披露",来自福建,5037297298312782,0,回复@眠-LC:我不太清楚，压得还挺严实的，细节没有披露,7823337347,用户7823337347,https://weibo.com/u/7823337347,,,湖南 长沙,f,0,254,0,0,0,0,0
13,5037267271291469,2020253241,24年05月23日 20:26,"回复<a href=/n/只是一支水母 usercard=""name=@只是一支水母"">@只是一支水母</a>:素！！！",来自福建,5037290784559483,0,回复@只是一支水母:素！！！,7823337347,用户7823337347,https://weibo.com/u/7823337347,,,湖南 长沙,f,0,254,0,0,0,0,0
14,5037267271291469,2020253241,24年05月23日 20:23,"别说了，这个老登现在教我们体育<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自福建,5037290086732953,1,别说了，这个老登现在教我们体育[泪][泪],7823337347,用户7823337347,https://weibo.com/u/7823337347,,,湖南 长沙,f,0,254,0,0,0,0,0
15,5037267271291469,2020253241,24年06月13日 18:27,"回复<a href=/n/文子橦 usercard=""name=@文子橦"">@文子橦</a>:宝宝是哪个学院的<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />我想报福大研想看看能不能对上好学院",来自吉林,5044871006259549,0,回复@文子橦:宝宝是哪个学院的[泪][泪]我想报福大研想看看能不能对上好学院,7781823419,把被窝睡成冷的,https://weibo.com/u/7781823419,,,其他,f,1,78,25,2,0,15,17
16,5037267271291469,2020253241,24年05月25日 10:08,"回复<a href=/n/用户6271083293 usercard=""name=@用户6271083293"">@用户6271083293</a>:目前我知道的只有fzu是这样，还是不要误伤他人，也不要误伤正常学生了",来自福建,5037860136682379,0,回复@用户6271083293:目前我知道的只有fzu是这样，还是不要误伤他人，也不要误伤正常学生了,6063137066,许墨喊我去学习了,https://weibo.com/u/6063137066,,,其他,f,6,208,161,22,0,49,71
17,5037267271291469,2020253241,24年05月24日 01:20,"回复<a href=/n/只是一支水母 usercard=""name=@只是一支水母"">@只是一支水母</a>:ylh，学校有名了<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自福建,5037364953220343,0,回复@只是一支水母:ylh，学校有名了[doge],7417167812,蝻的基本盘,https://weibo.com/u/7417167812,,,其他,m,1,82,2,0,0,1,1
