,comments_level_1_mid,main_body_uid,发布时间,处理内容,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,4541038213997492,3565390632,20年08月23日 11:07,"那警察不用办案了呗<img alt=""[吃瓜]"" title=""[吃瓜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/01/2018new_chigua_org.png"" />法律不用了呗",4541041145035518,2,那警察不用办案了呗[吃瓜]法律不用了呗,2907060865,yellow7-,https://weibo.com/u/2907060865,Stay hungry.,福建,f,586,422,1198,"3,466",33,"5,851","9,350"
1,4541038213997492,3565390632,20年08月23日 11:15,这需要这种“未婚妻给个说法”的发言，这就提醒？这是你不跟她立刻取消订婚我就得接着提醒你。,4541043107965094,3,这需要这种“未婚妻给个说法”的发言，这就提醒？这是你不跟她立刻取消订婚我就得接着提醒你。,5988866061,午酱今天学习了嘛,https://weibo.com/u/5988866061,,福建,f,40,482,201,48,1,62,111
2,4541038213997492,3565390632,20年08月23日 11:48,然后这个人未婚妻名字被骂上热搜,4541051504962299,5,然后这个人未婚妻名字被骂上热搜,6902028717,蒜蓉HG,https://weibo.com/u/6902028717,迪嘠,其他,m,10,177,395,125,4,359,488
3,4541038213997492,3565390632,20年08月23日 11:12,告知的方式就是骂她？,4541042467285843,1,告知的方式就是骂她？,7349493825,木小哼哼,https://weibo.com/u/7349493825,我的树洞ANDg🤤sAND搞原耽,福建 厦门,f,9,96,340,54,1,34,89
4,4541038213997492,3565390632,20年08月23日 12:21,那些无脑的其实可以自动过滤的，我都不想看，但是如果我是这个人的未婚妻，我真的会重新思考这个，我会很高兴别人来给我一个提醒哈哈哈哈,4541059780318748,0,那些无脑的其实可以自动过滤的，我都不想看，但是如果我是这个人的未婚妻，我真的会重新思考这个，我会很高兴别人来给我一个提醒哈哈哈哈,2915389581,YABcD_EfG,https://weibo.com/u/2915389581,,其他,f,69,353,131,32,0,24,56
5,4541038213997492,3565390632,20年08月23日 11:51,"爱玛，多练练书法平心静气吧，真的好浮躁一个<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",4541052344339312,0,爱玛，多练练书法平心静气吧，真的好浮躁一个[笑cry],2915389581,YABcD_EfG,https://weibo.com/u/2915389581,,其他,f,69,353,131,32,0,24,56
6,4541038213997492,3565390632,20年08月25日 22:15,"回复<a href=/n/一位道姑朋友 usercard=""name=@一位道姑朋友"">@一位道姑朋友</a>:不是",4541934091900909,0,回复@一位道姑朋友:不是,5988866061,午酱今天学习了嘛,https://weibo.com/u/5988866061,,福建,f,40,482,201,48,1,62,111
7,4541038213997492,3565390632,20年08月25日 20:52,"回复<a href=/n/午酱今天学习了嘛 usercard=""name=@午酱今天学习了嘛"">@午酱今天学习了嘛</a>:难道不是吗？",4541913183556209,0,回复@午酱今天学习了嘛:难道不是吗？,6540429598,一位道姑朋友,https://weibo.com/u/6540429598,,其他,f,2,16,4,0,0,1,1
8,4541038213997492,3565390632,20年08月25日 20:31,"回复<a href=/n/一位道姑朋友 usercard=""name=@一位道姑朋友"">@一位道姑朋友</a>:所以就福大倒霉？该被“施压”？“这件事换谁都会被这样，所以这件事就正常”？",4541907923908249,0,回复@一位道姑朋友:所以就福大倒霉？该被“施压”？“这件事换谁都会被这样，所以这件事就正常”？,5988866061,午酱今天学习了嘛,https://weibo.com/u/5988866061,,福建,f,40,482,201,48,1,62,111
9,4541038213997492,3565390632,20年08月25日 19:41,"回复<a href=/n/午酱今天学习了嘛 usercard=""name=@午酱今天学习了嘛"">@午酱今天学习了嘛</a>:施压正常啊<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />换个学校也是这样",4541895386348186,0,回复@午酱今天学习了嘛:施压正常啊[微笑]换个学校也是这样,6540429598,一位道姑朋友,https://weibo.com/u/6540429598,,其他,f,2,16,4,0,0,1,1
10,4541038213997492,3565390632,20年08月25日 19:40,"回复<a href=/n/yellow7- usercard=""name=@yellow7-"">@yellow7-</a>:提醒懂？<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />和警察有毛关系",4541895092481099,0,回复@yellow7-:提醒懂？[挖鼻]和警察有毛关系,6540429598,一位道姑朋友,https://weibo.com/u/6540429598,,其他,f,2,16,4,0,0,1,1
11,4541038213997492,3565390632,20年08月23日 14:03,"回复<a href=/n/yellow7- usercard=""name=@yellow7-"">@yellow7-</a>:很多社会事件都是舆论发酵之后才得到妥善解决的啊",4541085492190571,0,回复@yellow7-:很多社会事件都是舆论发酵之后才得到妥善解决的啊,2065186763,BJINYUX,https://weibo.com/u/2065186763,炸鸡皮爱好者,海外 斯洛文尼亚,m,865,1264,14900,"3,195","1,463","7,460","12,118"
12,4541038213997492,3565390632,20年08月23日 12:00,"回复<a href=/n/是风动42647 usercard=""name=@是风动42647"">@是风动42647</a>:早上看到就满脑？？？<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",4541054445173728,0,回复@是风动42647:早上看到就满脑？？？[允悲],3565390632,Deprogramming,https://weibo.com/u/3565390632,Less is More.,四川 成都,m,352,515,1953,"1,642",91,"2,559","4,292"
13,4541038213997492,3565390632,20年08月23日 11:48,"回复<a href=/n/博肖圈厨艺大师 usercard=""name=@博肖圈厨艺大师"">@博肖圈厨艺大师</a>:本来舆论申诉就不是什么解决办法的途径啊，高效地解决不应该是告他让他赔偿付出代价吗？",4541051471922067,1,回复@博肖圈厨艺大师:本来舆论申诉就不是什么解决办法的途径啊，高效地解决不应该是告他让他赔偿付出代价吗？,2907060865,yellow7-,https://weibo.com/u/2907060865,Stay hungry.,福建,f,586,422,1198,"3,466",33,"5,851","9,350"
14,4541038213997492,3565390632,20年08月23日 11:45,"回复<a href=/n/博肖圈厨艺大师 usercard=""name=@博肖圈厨艺大师"">@博肖圈厨艺大师</a>:法律途径啊",4541050800318586,0,回复@博肖圈厨艺大师:法律途径啊,2907060865,yellow7-,https://weibo.com/u/2907060865,Stay hungry.,福建,f,586,422,1198,"3,466",33,"5,851","9,350"
15,4541038213997492,3565390632,20年08月23日 11:38,"回复<a href=/n/yellow7- usercard=""name=@yellow7-"">@yellow7-</a>:现在问题是没有动保，警察建议不追究。",4541048971343783,0,回复@yellow7-:现在问题是没有动保，警察建议不追究。,2065186763,BJINYUX,https://weibo.com/u/2065186763,炸鸡皮爱好者,海外 斯洛文尼亚,m,865,1264,14900,"3,195","1,463","7,460","12,118"
