,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5037289138816089,6336767362,24年05月24日 03:50,"你在放什么屁<img alt=""[思考]"" title=""[思考]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/2018new_sikao_org.png"" />",来自河南,5037402469171958,52,你在放什么屁[思考],7752701159,啊啊啊啊啊啊啊b溃,https://weibo.com/u/7752701159,镇魂,其他,f,19,176,2178,148,66,323,537
1,5037289138816089,6336767362,24年05月24日 13:26,小先生卖钩子的时候不要玩微博，臭的要死,来自湖北,5037547621188947,33,小先生卖钩子的时候不要玩微博，臭的要死,5136442921,隔壁葱葱摸猫猫,https://weibo.com/u/5136442921,【镇魂】致敬黑黄v人的伟大艾情,其他,f,23,191,93,13,5,240,258
2,5037289138816089,6336767362,24年05月24日 09:59,"小仙男又来找存在感了<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自江苏,5037495324249927,37,小仙男又来找存在感了[笑cry],7888519747,Insomnia0911_,https://weibo.com/u/7888519747,我永远赠你花,其他,f,46,288,2764,"1,288",239,"1,154","2,681"
3,5037289138816089,6336767362,24年05月24日 08:45,"xsr都有理了，中国没有律法吗<img alt=""[哆啦A梦害怕]"" title=""[哆啦A梦害怕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/35/2022_dorashock_org.png"" />",来自山西,5037476790142230,23,xsr都有理了，中国没有律法吗[哆啦A梦害怕],7393150976,有事去临空市一趟,https://weibo.com/u/7393150976,碎碎念,海外,f,5,51,49,13,1,21,35
4,5037289138816089,6336767362,24年05月24日 11:34,你的沟子也要被男的怜爱一下哈小仙男,来自江西,5037519366002368,16,你的沟子也要被男的怜爱一下哈小仙男,7772933707,两元店长,https://weibo.com/u/7772933707,点进来默认结缘be,浙江,f,27,60,1334,235,145,"1,280","1,660"
5,5037289138816089,6336767362,24年05月24日 14:28,"两百一根警告<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />",来自福建,5037563041551677,6,两百一根警告[爱你],5150421213,喝奶茶就喝去冰全糖,https://weibo.com/u/5150421213,镇魂防搜┃我的人生被你们哦嗯咦啊害惨了,福建 福州,f,179,284,14257,"8,282","6,721","9,866","24,869"
6,5037289138816089,6336767362,24年05月24日 21:34,你好意思在这里评论，你爸都被盖上剁椒泼油端上桌了,来自山东,5037670433033675,6,你好意思在这里评论，你爸都被盖上剁椒泼油端上桌了,7315525234,椰香烤饼,https://weibo.com/u/7315525234,吃了这口椰香以后要椰椰香香的啊,其他,f,32,253,1620,203,59,178,440
7,5037289138816089,6336767362,24年05月24日 14:02,劣v果然是低等性别,来自福建,5037556515209514,4,劣v果然是低等性别,6288048671,Fairy-味的,https://weibo.com/u/6288048671,,福建,f,173,500,939,37,3,122,162
8,5037289138816089,6336767362,24年05月24日 18:45,"再说祝你这辈子也被男人开发<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />",来自广西,5037627696480746,3,再说祝你这辈子也被男人开发[爱你],5519359123,可爱幼崽质检员,https://weibo.com/u/5519359123,别着急慢慢来,广西,f,75,695,726,231,3,365,599
9,5037289138816089,6336767362,24年05月24日 15:25,像你这种的剁了就老实了,来自福建,5037577526577000,4,像你这种的剁了就老实了,7774218172,给你俩大逼兜子,https://weibo.com/u/7774218172,,其他,f,9,434,111,62,"1,055",57,"1,174"
10,5037289138816089,6336767362,24年05月25日 14:08,你就是那男的？,来自河南,5037920458640924,0,你就是那男的？,5548306880,何以解忧唯有暴富OWO,https://weibo.com/u/5548306880,此生只为赚钱而努力活着！加油💪💪💪,河南,f,37,50,8681,140,442,932,"1,514"
11,5037289138816089,6336767362,24年05月24日 15:06,"小仙男嘴跟把一样没个把门的<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自安徽,5037572669834840,2,小仙男嘴跟把一样没个把门的[允悲],6032737651,dovodiko,https://weibo.com/u/6032737651,,其他,f,1189,366,2945,"1,269",248,"1,077","2,594"
12,5037289138816089,6336767362,24年05月24日 12:04,你算什么东西,来自山西,5037526817702893,3,你算什么东西,7435216314,Boom八8,https://weibo.com/u/7435216314,镇魂,湖南,f,10,1069,3929,7,5,55,67
