,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5037262209812612,7544478315,24年05月23日 18:37,太对了，辅导员这种生物就不该存在！！！,来自江苏,5037263317371384,95,太对了，辅导员这种生物就不该存在！！！,7849092314,enfance_er,https://weibo.com/u/7849092314,超级碎碎念 给思维放假的地方！,其他,f,1,30,267,51,0,3,54,
1,5037262209812612,7544478315,24年05月23日 19:11,经管的辅导员全都挺逆天的,来自福建,5037271969170037,67,经管的辅导员全都挺逆天的,5773271806,无敌甲鱼666,https://weibo.com/u/5773271806,,其他,f,22,45,10,1,0,26,27,
2,5037262209812612,7544478315,24年05月23日 19:16,为了学校的声誉全部的学校都会维护施暴者,来自江苏,5037273307416521,43,为了学校的声誉全部的学校都会维护施暴者,7044152625,紫米洪豆,https://weibo.com/u/7044152625,,江苏,m,156,531,92,511,52,"2,325","2,888",
3,5037262209812612,7544478315,24年05月23日 20:07,"真的是震惊，看出来了，这辅导员是男的，而且对于这种事觉得就是小事，还一直为那个男的脱罪，我靠，94年的<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />30岁的男性还这么恶心",来自福建,5037285999120538,35,真的是震惊，看出来了，这辅导员是男的，而且对于这种事觉得就是小事，还一直为那个男的脱罪，我靠，94年的[允悲]30岁的男性还这么恶心,2299114143,半剑惊鸿,https://weibo.com/u/2299114143,,其他,f,19870,463,28689,"54,823","42,957","140,795","238,575",娱乐博主 头条文章作者
4,5037262209812612,7544478315,24年05月23日 18:50,"我刚给我弟发消息，他说没听过这回事<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />压得真严实",来自广西,5037266705583751,22,我刚给我弟发消息，他说没听过这回事[允悲]压得真严实,5298021175,如果下半生没有人陪伴你左右,https://weibo.com/u/5298021175,像影子追着光梦游,其他,f,185,58,99,28,48,86,162,
5,5037262209812612,7544478315,24年05月23日 19:56,"经管院的辅导员的确挺逆天<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自四川,5037283398385926,6,经管院的辅导员的确挺逆天[doge],2287680652,EscapeTomorrow,https://weibo.com/u/2287680652,,福建,m,245,307,221,745,5,583,"1,333",
6,5037262209812612,7544478315,24年05月23日 20:18,"副书记是谁呀<img alt=""[挤眼]"" title=""[挤眼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/43/2018new_jiyan_org.png"" />",来自福建,5037288744814784,5,副书记是谁呀[挤眼],5893213627,Serendipity_Jade_Smith,https://weibo.com/u/5893213627,"If equal love cannot be, let the more loving one be me.",海南 海口,f,19,46,18,12,0,62,74,
7,5037262209812612,7544478315,24年05月23日 19:06,"我们辅导员<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" /><img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />",来自福建,5037270690173954,3,我们辅导员[苦涩][苦涩],6984068527,多多读书好上岸,https://weibo.com/u/6984068527,11🈷️数逻全对！,福建,m,41,99,6,24,0,12,36,
8,5037262209812612,7544478315,24年05月23日 19:53,"不大理解，輔導員袒護猥褻男的理由是啥<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自福建,5037282513914913,0,不大理解，輔導員袒護猥褻男的理由是啥[允悲],2804035931,蛋挞还是榴莲的好,https://weibo.com/u/2804035931,,广东 广州,m,755,3692,787,22,57,"3,723","3,802",
9,5037262209812612,7544478315,24年05月23日 20:04,"该管的不管，不该管的非要管。没错，这就是fzu的辅导员<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />",来自福建,5037285223697430,5,该管的不管，不该管的非要管。没错，这就是fzu的辅导员[微笑],7865961908,用户7865961908,https://weibo.com/u/7865961908,,其他,f,2,8,1,0,0,0,0,
10,5037262209812612,7544478315,24年05月24日 15:13,"回复<a href=/n/不要这么晚睡啦 usercard=""name=@不要这么晚睡啦"">@不要这么晚睡啦</a>:是哪个哦？",来自浙江,5037574471813463,0,回复@不要这么晚睡啦:是哪个哦？,5048191052,半度染夕月,https://weibo.com/u/5048191052,打工人是人上人！,其他,f,201,330,1642,"3,645",53,"2,543","6,241",
11,5037262209812612,7544478315,24年05月23日 22:00,"经管院的辅导员还有谁没领教过吗<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />开段会让有问题找他 真有事了找他问找他干嘛 贫困生评给跟他好的 反正没话说了 成天污点事件就一直压 反而一些宿舍卫生和排插没关都恨不得开除你",来自泰国,5037314399804130,9,经管院的辅导员还有谁没领教过吗[doge]开段会让有问题找他 真有事了找他问找他干嘛 贫困生评给跟他好的 反正没话说了 成天污点事件就一直压 反而一些宿舍卫生和排插没关都恨不得开除你,7203097386,边际快乐递增规律,https://weibo.com/u/7203097386,,其他,m,16,217,1218,51,5,20,76,
12,5037262209812612,7544478315,24年05月23日 21:27,"回复<a href=/n/蛋挞还是榴莲的好 usercard=""name=@蛋挞还是榴莲的好"">@蛋挞还是榴莲的好</a>:应该是同一类人",来自福建,5037306094552864,0,回复@蛋挞还是榴莲的好:应该是同一类人,6972922444,好奇猫朵儿,https://weibo.com/u/6972922444,,福建,f,2,68,32,4,0,17,21,
13,5037262209812612,7544478315,24年05月23日 21:10,"回复<a href=/n/EscapeTomorrow usercard=""name=@EscapeTomorrow"">@EscapeTomorrow</a>:什么 还打算考研去<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />",来自湖南,5037302042330972,0,回复@EscapeTomorrow:什么 还打算考研去[苦涩],7386224631,栀栀荔,https://weibo.com/u/7386224631,易烊千玺  🐝和🐜～💞,湖南 长沙,f,32,132,743,258,55,317,630,
14,5037262209812612,7544478315,24年05月23日 20:49,"回复<a href=/n/不要这么晚睡啦 usercard=""name=@不要这么晚睡啦"">@不要这么晚睡啦</a>:ZYL?",来自福建,5037296631680401,0,回复@不要这么晚睡啦:ZYL?,5694300385,仲冬三-,https://weibo.com/u/5694300385,君子可内敛而不可懦弱，因不公可起而论之。,海外,m,11,324,38,11,0,56,67,
