,mid,uid,个人昵称,个人主页,发布时间,内容来自,展示内容,全部内容,转发数量,评论数量,点赞数量
0,5037261313807372,2020253241,眠-LC,https://weibo.com/2020253241,05月23日 18:29,微博网页版,#福州大学##律师说法#我们这个社会好像有点“受虐”倾向，有点过于偏爱“弱者”。你看，福州大学这件事儿，明明是女孩子被猥亵，当女孩去和辅导员沟通的时候，有理的她，本身是受害的她，此时就变成了“强者”，而那个猥亵她的男生就成了“弱者”，所以辅导员可以随意说“他不容易，考了很多年大​展开,#福州大学##律师说法#我们这个社会好像有点“受虐”倾向，有点过于偏爱“弱者”。你看，福州大学这件事儿，明明是女孩子被猥亵，当女孩去和辅导员沟通的时候，有理的她，本身是受害的她，此时就变成了“强者”，而那个猥亵她的男生就成了“弱者”，所以辅导员可以随意说“他不容易，考了很多年大学”“他爸爸失去了劳动能力”等等.......这种不分是非黑白和语境的状态是不是很像多子女家庭。我见过很多嘴上说要一碗水端平但永远端不平的多子女家庭，那个懂事的，有困难自己扛的好像就永远不需要爱和帮助，那个总是惹事不出门工作靠父母养的就变成了“弱者”，父母不仅偏爱还会要求那个努力的孩子陪他们一起偏爱那个“弱者”。拜托，搞搞清楚，他弱，不是他占尽便宜、不必负责的合理理由，不是他们伤害他人的借口。那个被猥亵的女孩原以为可以在一个安全的地方，在信任的辅导员面前得到有效的帮助和心理安慰，没想到却再一次受创，直到民警赶来告诉她不必害怕，她才敢流泪。一个辅导员的态度确实不能代表其他老师和校方的态度，但是，校方在招人的时候没有进行过必要的培训吗？在面对学生问题，甚至是学生犯罪问题，就没有教会一个辅导员如何辨别是非吗？这是校方需要反思的。也希望女孩子们多点勇气，保护好自己的同时敢于同错误的价值观宣战！#福州大学一男生猥亵女生#,198,176,7737
1,5039307523624686,5382192704,林成狗,https://weibo.com/5382192704,05月29日 10:00,微博视频号,暴雨后福州大学的流浪狗们#萌宠##福州大学##狗狗#林成狗的微博视频​,None,45,70,2193
2,5037260066524172,7544478315,月盈怀_,https://weibo.com/7544478315,05月23日 18:24,神秘的INFJ,#福州大学一男生猥亵女生##福大回应女生在校内电梯遭男生猥亵##福州大学#真的假的啊，有本校学生偷偷和我现身说法一下吗？？？为什么说被猥亵女生出于信任求助辅导员，辅导员还帮着30岁男的卖惨啊？？？？？​,None,9,111,3227
3,5037248213419852,7799872068,苏酿酿呀,https://weibo.com/7799872068,05月23日 17:37,None,家庭困难也不是袒护纵容犯罪的理由啊，本该是教书育人的地方，反过来却想利用道德绑架去维护一个猥亵犯？？咋想的？还留这样的人在大学校园干嘛用？过年给你包饺子吗？？#福州大学##福大回应女生在校内电梯遭男生猥亵##福州大学一男生猥亵女生#​,None,66,90,2272
4,5037269597818174,7051157562,白夜菌Dream,https://weibo.com/7051157562,05月23日 19:02,小白的Android,福州大学虎扑评分：辅导员有病。#福州大学#​,None,3,26,188
5,5037251467935842,3272474385,文笙V,https://weibo.com/3272474385,05月23日 17:49,网络邻居,穷，不容易，30岁：这么差劲的开局，不是想着积极，向上，阳光，而是想着欺侮弱小，这样的人也实在不成器！#福州大学一男生猥亵女生##福州大学#​,None,2,14,848
6,5037253177117391,5841739290,稚兔梦境,https://weibo.com/5841739290,05月23日 17:56,微博视频号,#福州大学#什么情况#福州大学一男生猥亵女生#稚兔梦境的微博视频​,None,2,22,209
7,5037269838725810,1791058743,种纬raullinoux,https://weibo.com/1791058743,05月23日 19:03,微博网页版,#福州大学#​#福州大学一男生猥亵女生#这是有两个关键点：1，男方被拘留了，福大表白墙官微也说自己核实过了行政处罚书，这似乎说明性骚扰的事属实；2，女生很受伤，一个原因是辅导员的态度，按长文说法，辅导员铁了心劝女生和解。根据以往相关事例，很多时候高校辅导员的第一反应是大事化小​展开,#福州大学#​#福州大学一男生猥亵女生#这是有两个关键点：1，男方被拘留了，福大表白墙官微也说自己核实过了行政处罚书，这似乎说明性骚扰的事属实；2，女生很受伤，一个原因是辅导员的态度，按长文说法，辅导员铁了心劝女生和解。根据以往相关事例，很多时候高校辅导员的第一反应是大事化小小事化了，这实际上违背了现代文明理念的，更何况也违背了自己的职责。如果长文属实，我很想知道辅导员的心理，有什么奇怪考核在他们身上吗，导致他们觉得不能出现这样的案件？,8,66,843
8,5037270992686415,1405759702,连线记者,https://weibo.com/1405759702,05月23日 19:07,None,#福大回应女生在校内电梯遭男生猥亵#为#福州大学#这位女生点赞！被猥亵，不沉默，敢反抗！​,None,18,12,406
9,5037267109021814,6868515675,Xxuan_cy,https://weibo.com/6868515675,05月23日 18:52,None,#福州大学一男生猥亵女生#辅导员还包庇犯罪的?学生出于对老师的信任寻求帮助你却继续把她推向深渊?#福州大学#​,None,2,19,155
